biomarker,unit,ref_low,ref_high,source
Dansite (Strip),-,1.01,1.03,lab_test_results_public.csv
Eritrosit,10^6/uL,3.8,5.2,lab_test_results_public.csv
Ferritin,ug/L,15.0,150.0,lab_test_results_public.csv
Glikozile Hemoglobin (HbA1c),%,4.0,6.0,lab_test_results_public.csv
Hematokrit,%,35.0,49.0,lab_test_results_public.csv
Hemoglobin,g/dL,12.0,15.0,lab_test_results_public.csv
Lenfosit%,%,18.0,42.0,lab_test_results_public.csv
Lökosit,10^3/uL,5.0,10.6,lab_test_results_public.csv
Monosit%,%,2.0,11.0,lab_test_results_public.csv
Nötrofil%,%,50.0,70.0,lab_test_results_public.csv
PCT,%,0.17,0.38,lab_test_results_public.csv
PDW,fL,9.8,16.1,lab_test_results_public.csv
RDW,%,11.5,14.5,lab_test_results_public.csv
RDW-SD,fL,36.4,46.3,lab_test_results_public.csv
Serbest T4,ng/dL,0.87,1.7,lab_test_results_public.csv
Total IgE,KU/L,0.1,100.0,lab_test_results_public.csv
Trombosit,10^3/uL,150.0,450.0,lab_test_results_public.csv
pH (Strip),-,5.0,9.0,lab_test_results_public.csv
İnsülin,mU/L,2.6,24.9,lab_test_results_public.csv
